lambda,avg_wait_time,avg_queue_length,avg_utilization,avg_response_time
0.1,0.21660874294226976,0.021653362345741372,0.09994439248823422,1.216413389413692
0.2,0.5411304925307909,0.10850154603826706,0.20045668613781142,1.5408671495863586
0.3,1.0566115120148123,0.31676563577703054,0.29971526148800315,2.056350416859874
0.4,1.9268027770885676,0.7704017030376178,0.3996788485825737,2.926429910760581
0.5,3.468027685756354,1.7370413392962092,0.5006278577387323,4.4675382666900785
0.6,6.173880899461971,3.7107527346056735,0.6010020787084521,7.1738323861220925
0.7,10.587733022336808,7.4122774303073955,0.7005866583292305,11.588467731718051
0.8,19.215806228819083,15.362754027927704,0.7988969111059225,20.2150723146814
0.9,45.10353219989248,40.61907323338602,0.9007548774600284,46.103775274103555

